beer_name,beer_style,brewery_name,review_overall,review_aroma,review_palate,review_taste,average_review
Cherry Bock,Bock,Croucher Brewing Co.,4.5,4.0,4.0,4.0,4.125
Patriot,American Black Ale,Croucher Brewing Co.,4.5,4.0,4.0,4.0,4.125
Demon,Vienna Lager,Brewery Lobkowicz,4.0,4.5,4.0,4.0,4.125
Emelisse Russian Imperial Stout - Peated,Russian Imperial Stout,Bierbrouwerij Grand-Café  Emelisse,4.0,4.5,4.0,4.0,4.125
Emelisse Black IPA,American Black Ale,Bierbrouwerij Grand-Café  Emelisse,4.0,4.0,4.0,4.5,4.125
IPA Centennial Chinook Nugget,American IPA,The Kernel Brewery,4.0,4.5,4.5,3.5,4.125
My Bloody Valentine,Saison / Farmhouse Ale,Alameda Brewhouse,4.5,3.5,4.0,4.5,4.125
Bad Bunny Cream Ale,Cream Ale,Alameda Brewhouse,4.0,4.0,4.0,4.5,4.125
Casta Oscura,English Pale Ale,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",4.0,4.5,4.0,4.0,4.125
Salt Spring Golden Ale,American Blonde Ale,Gulf Islands Brewing,5.0,4.0,3.5,4.0,4.125
Dawg Pound Brown,American Brown Ale,Rock Bottom Restaurant and Brewery,4.0,4.0,4.0,4.5,4.125
Burgdorfer Aemme,Vienna Lager,Burgdorfer Gasthausbrauerei,4.0,4.0,4.0,4.5,4.125
IPA Black FASM Tate,American Black Ale,The Kernel Brewery,4.0,4.5,3.5,4.5,4.125
Old Scratchy,Scottish Ale,Chicago Brewing Company,4.0,4.0,4.5,4.0,4.125
Staghorn Octoberfest,Märzen / Oktoberfest,New Glarus Brewing Company,4.5,4.0,4.0,4.0,4.125
Crack'd Wheat,Hefeweizen,New Glarus Brewing Company,4.0,4.5,3.5,4.5,4.125
Bourbon Barrel Olde Reliable,American Barleywine,Laurelwood Public House & Brewery,4.0,5.0,4.0,3.5,4.125
Amber Marzen,Märzen / Oktoberfest,Lang Bräu OHG,4.5,3.5,4.5,4.0,4.125
Brainless Belgian Golden Ale,Belgian Strong Pale Ale,Epic Brewing Co.,4.5,4.0,4.0,4.0,4.125
Rio's Rompin Rye Beer,Rye Beer,Epic Brewing Co.,4.0,4.0,4.0,4.5,4.125
Fermentation Without Representation Imperial Pumpkin Porter,Pumpkin Ale,Epic Brewing Co.,4.5,4.0,4.0,4.0,4.125
Scone Blond,Belgian Pale Ale,Scone Bierbrouwerij,4.5,4.0,4.0,4.0,4.125
Hellfire Ale,English Pale Ale,Bright Brewery,4.0,5.0,4.0,3.5,4.125
Staircase Porter,American Porter,Bright Brewery,4.5,4.5,3.5,4.0,4.125
Lazy Day's ESB,Extra Special / Strong Bitter (ESB),Wig And Pen,4.0,4.0,4.0,4.5,4.125
Flemm,Flanders Red Ale,Wig And Pen,4.0,4.0,4.0,4.5,4.125
Hop Heads,American Pale Ale (APA),Wig And Pen,4.5,3.5,4.5,4.0,4.125
Sleighor Double IPA,American Double / Imperial IPA,ReaperAle,4.0,4.5,4.0,4.0,4.125
Inevitable Ale,American Blonde Ale,ReaperAle,4.0,4.0,4.5,4.0,4.125
Doble IPA,American Double / Imperial IPA,Orlando Brewing Partners,3.5,4.5,4.5,4.0,4.125
Stagger-red Through The Tulips,Flanders Red Ale,Wig And Pen,4.5,4.0,4.0,4.0,4.125
Mojo Risin' Double IPA,American Double / Imperial IPA,Boulder Beer / Wilderness Pub,4.0,4.0,4.0,4.5,4.125
Never Summer Ale,Winter Warmer,Boulder Beer / Wilderness Pub,4.0,4.0,4.5,4.0,4.125
La Blonde Belge De La Fromagerie Atwater,Belgian Pale Ale,AMB - Maître Brasseur,4.5,4.0,4.0,4.0,4.125
Local Series Merlo Stout #12,Foreign / Export Stout,Ska Brewing Co.,4.0,4.0,4.5,4.0,4.125
Euphoria Pale Ale,American Pale Ale (APA),Ska Brewing Co.,4.0,4.5,4.0,4.0,4.125
La Bohème,Czech Pilsener,AMB - Maître Brasseur,4.5,4.0,4.0,4.0,4.125
Cinnamon Nut Brown Ale,English Brown Ale,Carmody Irish Pub & Brewing,4.0,4.0,4.0,4.5,4.125
Holledauer Weisses,Hefeweizen,Schlossbrauerei Au-Hallertau,4.0,4.0,4.0,4.5,4.125
Lug Tread Lagered Ale,Kölsch,Beau's All Natural Brewing Company,4.0,4.0,4.0,4.5,4.125
Elemental Ale,American Pale Ale (APA),Pelican Pub & Brewery,4.5,4.0,4.0,4.0,4.125
Two Weeks Notice German Porter,American Porter,Beau's All Natural Brewing Company,4.0,4.5,4.0,4.0,4.125
Extra Innings IPA,American IPA,Montgomery Brewing Company,4.5,4.0,4.0,4.0,4.125
Blackwood Stout Porter,Milk / Sweet Stout,Blackwood Valley Brewing Company / The Cidery,4.0,4.0,4.5,4.0,4.125
Bald Eagle Brown,English Brown Ale,RJ Rockers Brewing Company,4.5,3.5,4.0,4.5,4.125
Baladin Nora,Herbed / Spiced Beer,Birrificio Le Baladin,4.0,4.0,4.5,4.0,4.125
Farmhouse,Saison / Farmhouse Ale,Lighthouse Brewpub (McMenamins),4.0,4.5,3.5,4.5,4.125
Gone Awry,Rye Beer,Lighthouse Brewpub (McMenamins),4.0,4.0,4.5,4.0,4.125
Pirate Pale Ale,English Pale Ale,Gaslight Brewery & Restaurant,4.0,4.5,4.0,4.0,4.125
Belgium Brown,Belgian Dark Ale,Foundry Ale Works,4.5,4.0,4.0,4.0,4.125
4 Pines Wee Heavy,Scotch Ale / Wee Heavy,4 Pines Brewing Company,4.0,4.0,4.0,4.5,4.125
Pfungstädter St. Nikolaus,Bock,Pfungstädter Brauerei,4.5,3.0,4.5,4.5,4.125
Oak Aged Tsunami Stout,Foreign / Export Stout,Pelican Pub & Brewery,4.5,4.0,3.5,4.5,4.125
Nestucca ESB,Extra Special / Strong Bitter (ESB),Pelican Pub & Brewery,4.0,4.5,4.0,4.0,4.125
4 Pines Dry Stout,Irish Dry Stout,4 Pines Brewing Company,4.0,4.0,4.0,4.5,4.125
Cuvee De Phillipe,Belgian Strong Dark Ale,Pelican Pub & Brewery,4.0,4.0,4.5,4.0,4.125
500 Pale,American Pale Ale (APA),Orlando Brewing Partners,4.0,4.0,4.0,4.5,4.125
Anisocoria,American Barleywine,Orlando Brewing Partners,4.0,4.0,4.0,4.5,4.125
Tsunami Stout,Foreign / Export Stout,Pelican Pub & Brewery,4.0,4.5,4.0,4.0,4.125
Le Fleur Ambre,Belgian IPA,Pelican Pub & Brewery,4.5,4.0,3.5,4.5,4.125
Big Operator,Belgian Strong Dark Ale,Big Boss Brewing,4.0,4.0,4.0,4.5,4.125
Drunken Pumpkin Nefarious,Pumpkin Ale,Ska Brewing Co.,4.0,4.5,4.0,4.0,4.125
Blanco Diablo,Witbier,Big Boss Brewing,4.0,4.0,4.0,4.5,4.125
Paint The Town Red,American Amber / Red Ale,Hoptown Brewing Company,4.0,4.5,4.0,4.0,4.125
Nyctophobia IPA,American Black Ale,Columbia River Brewing Co.,4.5,4.0,4.0,4.0,4.125
Crazy Pils,Czech Pilsener,Aviator Brewing Company,4.0,4.0,4.0,4.5,4.125
Black Mamba Oatmeal Stout,Oatmeal Stout,Aviator Brewing Company,4.0,4.0,4.5,4.0,4.125
E & O Stout,Russian Imperial Stout,E & O Trading Company,4.0,4.0,4.5,4.0,4.125
Hoptologist DIPA,American Double / Imperial IPA,Knee Deep Brewing Company,4.0,4.5,4.0,4.0,4.125
Schumacher Latzenbier,Altbier,Brauerei Schumacher,4.5,3.5,4.5,4.0,4.125
Big Band Barley Wine,American Barleywine,Lindens Brewing Co.,4.0,4.0,4.5,4.0,4.125
Amarillo Gold,American Pale Ale (APA),Brewery Vivant,4.0,5.0,3.5,4.0,4.125
Contemplation Ale,Bière de Garde,Brewery Vivant,4.0,4.5,4.0,4.0,4.125
Heavy Handed: Double Chocolate Stout,American Double / Imperial Stout,Brewery Vivant,4.0,4.0,4.5,4.0,4.125
Brewer's Art Ozzy Ale,Belgian Strong Pale Ale,The Brewer's Art,4.0,4.0,4.0,4.5,4.125
Andechser Weissbier Hefetrüb,Hefeweizen,Klosterbrauerei Andechs,4.5,4.0,4.0,4.0,4.125
Twisted Kilt Scotch Ale,Scottish Ale,Thirsty Dog Brewing Company,5.0,3.5,4.0,4.0,4.125
Andechser Spezial Hell,Munich Helles Lager,Klosterbrauerei Andechs,4.5,3.5,4.5,4.0,4.125
Andechser Dunkel Naturtrüb Jubiläumsbier,Keller Bier / Zwickel Bier,Klosterbrauerei Andechs,4.0,4.0,4.0,4.5,4.125
Strawberry Ale,Fruit / Vegetable Beer,Covington Brewhouse,4.5,4.0,4.0,4.0,4.125
Kempelier,Belgian Pale Ale,Oirschots Bier,4.0,4.0,4.0,4.5,4.125
Champflower Ale,English Bitter,Cottage Brewing Co. Ltd,4.0,4.0,4.0,4.5,4.125
Concorde,American IPA,Cottage Brewing Co. Ltd,4.0,4.0,4.0,4.5,4.125
Landbier Export Hell,Dortmunder / Export Lager,Pyraser Bier GmbH & Co. KG,4.5,4.0,4.0,4.0,4.125
Brasserie Des Rocs Triple Impériale,Belgian Strong Dark Ale,Brasserie de l'Abbaye des Rocs s.a.,4.0,4.0,4.5,4.0,4.125
Dunedin Oktoberfest Ale,Märzen / Oktoberfest,Dunedin Brewery,4.0,3.5,4.5,4.5,4.125
Tusker Premium Lager,American Adjunct Lager,East African Breweries Ltd (Kenya Breweries),4.5,3.5,4.5,4.0,4.125
Saint Paix Apple,Fruit / Vegetable Beer,Brasseurs R.J.,4.5,4.0,4.0,4.0,4.125
Aces & Ates,American Stout,Big Boss Brewing,4.0,4.0,4.5,4.0,4.125
Trumer Pils,German Pilsener,Trumer Brauerei Berkeley,4.5,4.0,4.0,4.0,4.125
Den Dorstige Tijger,American IPA,Ramses Bier,4.0,4.5,4.0,4.0,4.125
Surprise Attack,English Strong Ale,Big Boss Brewing,4.0,4.0,4.0,4.5,4.125
La Mi Dòna,English Pale Ale,Amarcord Birra Artigianale Italiana,4.5,3.0,4.5,4.5,4.125
Belle Wringer Double Wit,Witbier,Big Boss Brewing,4.0,4.0,4.0,4.5,4.125
Belgian Black Chocolate,American Stout,Big Boss Brewing,4.5,3.5,4.5,4.0,4.125
Kitzmann Bergkirchweihbier,Vienna Lager,Kitzmann Bräu,4.5,3.5,4.0,4.5,4.125
Dunedin Barrel Aged Spatz BarkeyWine,American Barleywine,Dunedin Brewery,4.0,4.0,4.0,4.5,4.125
Caru' Cu Bere,Euro Pale Lager,Caru' Cu Bere,4.0,4.0,4.5,4.0,4.125
Leonard Croon's Old Mean Stout,American Stout,Dunedin Brewery,4.0,4.0,4.0,4.5,4.125
Best Of This Festivus,American Strong Ale,Manayunk Brewery and Restaurant,4.0,4.0,4.5,4.0,4.125
Dunedin Hefeweizen,American Pale Wheat Ale,Dunedin Brewery,4.0,4.5,4.0,4.0,4.125
Dunedin Vanilla Bean Smoked Porter,American Porter,Dunedin Brewery,4.5,4.0,4.0,4.0,4.125
Buster Brown Ale,English Brown Ale,Manayunk Brewery and Restaurant,4.0,4.0,4.0,4.5,4.125
I.P.A. Chronicle 2: SW Pacific,American IPA,Dunedin Brewery,4.5,4.0,4.0,4.0,4.125
I.P.A. Chronicle 4: Nelson Sauvin,American IPA,Dunedin Brewery,4.0,4.5,4.0,4.0,4.125
Bog Father,Scottish Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,4.0,4.0,4.0,4.5,4.125
True North Copper Altbier,Altbier,Magnotta Brewery,4.5,3.5,4.5,4.0,4.125
Wry Pale Ale,American Pale Ale (APA),Laurelwood Public House & Brewery,4.5,4.0,4.0,4.0,4.125
River Pig Pale Ale,American Pale Ale (APA),Angry Minnow Brewpub,4.5,4.0,4.0,4.0,4.125
Guardian Angel,Bière de Garde,"Franklin's Restaurant, Brewery & General Store",4.5,4.0,4.0,4.0,4.125
Brewmaster Flash And The Furious Five Hops,American Double / Imperial IPA,"Franklin's Restaurant, Brewery & General Store",4.0,4.0,4.5,4.0,4.125
Bourbon Barrel Aged Seeing Double IPA,American Double / Imperial IPA,Foothills Brewing Company,4.0,4.0,4.5,4.0,4.125
Mic Czech,Czech Pilsener,"Franklin's Restaurant, Brewery & General Store",4.0,4.0,4.5,4.0,4.125
North West Alpha,American Black Ale,"Franklin's Restaurant, Brewery & General Store",4.0,4.5,4.0,4.0,4.125
Salem Gold,American Blonde Ale,Foothills Brewing Company,4.0,4.0,4.0,4.5,4.125
Barley's Blood Thirst Wheat,Hefeweizen,Barley's Brewing Company,4.0,4.0,4.0,4.5,4.125
Barleys Pint O Joe,American Porter,Barley's Brewing Company,4.5,4.0,4.0,4.0,4.125
Flying Monkeys Riley Wine,American Barleywine,Flying Monkeys Craft Brewery,4.5,4.0,4.0,4.0,4.125
Burnt Barrel People's Porter,American Porter,Foothills Brewing Company,4.0,4.0,4.0,4.5,4.125
Foothills German Alt,Altbier,Foothills Brewing Company,4.0,4.5,4.0,4.0,4.125
Knob Creek Aged Peoples Porter,American Porter,Foothills Brewing Company,4.0,4.5,4.0,4.0,4.125
Barley's Meister Eckhart Spark Of The Divine Barleywine,American Barleywine,Barley's Brewing Company,4.5,4.0,4.0,4.0,4.125
Barley's Jay's Ain't Just Blowin' Smoke Porter,American Porter,Barley's Brewing Company,4.0,4.0,4.0,4.5,4.125
Barley's Centennial India Pale Ale,American IPA,Barley's Brewing Company,4.0,4.0,4.0,4.5,4.125
Barley's Glenlenny's Scotch Ale,Scotch Ale / Wee Heavy,Barley's Brewing Company,4.0,4.0,4.0,4.5,4.125
Barley's Heavy Horses Strong Olde Ale,American Strong Ale,Barley's Brewing Company,4.0,4.0,4.0,4.5,4.125
Barley's Robert Burns Scottish Export Ale (8%),Scotch Ale / Wee Heavy,Barley's Brewing Company,4.0,4.0,4.5,4.0,4.125
Sarmat Porter,Baltic Porter,Sarmat,4.0,4.0,4.5,4.0,4.125
Franklinstein Barleywine,American Barleywine,"Franklin's Restaurant, Brewery & General Store",4.0,3.5,5.0,4.0,4.125
The Hatchet Job,American Brown Ale,"Franklin's Restaurant, Brewery & General Store",4.0,4.0,4.0,4.5,4.125
Ruhrtaler Helles,Keller Bier / Zwickel Bier,Ruhrtal Brauerei - Privatbrennerei Sonnenschein,4.0,4.0,4.5,4.0,4.125
Best In Show (Weizelwizen Wheat Ale),Hefeweizen,Ninkasi Brewing Company,4.5,4.0,4.0,4.0,4.125
Zeus Fresh Hop Ale,American IPA,Laurelwood Public House & Brewery,4.0,4.5,4.0,4.0,4.125
Grandma's Brown,American Brown Ale,Turtle Mountain Brewing Company,4.0,3.5,4.5,4.5,4.125
Mandarin Saison,Saison / Farmhouse Ale,Independence Brewing Co.,4.0,4.0,4.0,4.5,4.125
Re-animator,Quadrupel (Quad),Blue Heron BrewPub,4.5,4.0,4.0,4.0,4.125
Elixir,Belgian Strong Pale Ale,Birrificio Le Baladin,4.0,4.0,4.0,4.5,4.125
Lurisia Otto,Belgian Strong Dark Ale,Birrificio Le Baladin,4.0,4.0,4.5,4.0,4.125
Hop Harvest Pale Ale,American Pale Ale (APA),Blue Heron BrewPub,4.0,4.0,4.5,4.0,4.125
Weihenstephaner Hefeweissbier Dunkel,Dunkelweizen,Bayerische Staatsbrauerei Weihenstephan,4.0,4.0,4.0,4.5,4.125
Holy Mackerel Special Golden Ale,Belgian Strong Pale Ale,Gordash Brewing Company,4.0,4.0,4.5,4.0,4.125
Nuit Blanche (Wheat),American Pale Wheat Ale,La Taverne Du Sergeant-Recruteur,4.5,4.0,4.0,4.0,4.125
Anna-Fest-Bier,Märzen / Oktoberfest,Brauerei Wolfshöhe K. u. F. Weber GmbH & Co. KG,4.5,4.0,4.0,4.0,4.125
Leidsch Blond,Belgian Pale Ale,Br. De Wijde Wereld / Leidsch Bier,4.5,4.5,4.0,3.5,4.125
William Mucklow's Dark Mild,English Dark Mild Ale,Bewdley Brewery Co.,4.0,4.0,4.0,4.5,4.125
MacGregor's Big Man Porter,American Porter,Ithaca Beer Company,4.5,4.0,4.0,4.0,4.125
Minoh Dark Lager,Schwarzbier,A.J.I. Beer Inc,5.0,3.0,4.5,4.0,4.125
MacGregor's Scotch Ale,Scotch Ale / Wee Heavy,Ithaca Beer Company,4.0,4.0,4.5,4.0,4.125
Kissmeyer No. 9 Witter Saison Du Fleur,Saison / Farmhouse Ale,Kissmeyer Beer,4.0,4.5,4.5,3.5,4.125
Imperiale High Gravity Stout,American Double / Imperial Stout,Ninkasi Brewing Company,4.0,4.0,4.5,4.0,4.125
Imperial Sasquatch,American Strong Ale,Ninkasi Brewing Company,4.0,4.0,4.0,4.5,4.125
McFadden's Stout,Irish Dry Stout,El Cajon Brewing Company,4.0,4.5,4.0,4.0,4.125
Guinness Foreign Extra Stout (Malaysia),Foreign / Export Stout,Guinness Anchor Berhad / Sungei Way Brewery,4.0,4.0,4.0,4.5,4.125
Flying Monkeys Big Nib,American Double / Imperial Stout,Flying Monkeys Craft Brewery,4.0,4.0,4.0,4.5,4.125
Jack Brown's Pale Ale,American Pale Ale (APA),Devils Backbone Brewing Company,4.5,4.0,4.0,4.0,4.125
Prohibition Ale,American Amber / Red Ale,Speakeasy Ales & Lagers,4.0,4.5,4.0,4.0,4.125
15th Anniversary Ale,American Strong Ale,Empyrean Brewing Company,4.5,3.5,4.5,4.0,4.125
Brewer's Art 12th Anniversary Ale,Belgian Pale Ale,The Brewer's Art,4.0,4.5,4.0,4.0,4.125
Brewer's Art Zodiac Pisces,Belgian Pale Ale,The Brewer's Art,4.0,4.5,4.0,4.0,4.125
Brewer's Art Odum Dubbel,Dubbel,The Brewer's Art,4.5,3.5,4.5,4.0,4.125
Brewer's Art St. Festivus Holiday Ale,Winter Warmer,The Brewer's Art,4.0,4.0,4.0,4.5,4.125
Brewer's Art Green Peppercorn Tripel,Tripel,The Brewer's Art,4.0,4.0,4.0,4.5,4.125
State Street Porter,American Porter,C.H. Evans Brewing Company,4.0,4.0,4.0,4.5,4.125
Saison De Pecore (8th Anniversary),Saison / Farmhouse Ale,The Brewer's Art,4.5,4.0,4.0,4.0,4.125
Super ESB,English Strong Ale,C.H. Evans Brewing Company,4.0,4.0,4.5,4.0,4.125
Brewer's Art Pecore Ale,Saison / Farmhouse Ale,The Brewer's Art,4.0,4.5,4.0,4.0,4.125
First Anniversary Ale,American Black Ale,Figueroa Mountain Brewing Co.,4.0,4.0,4.0,4.5,4.125
Davy Brown Ale,American Brown Ale,Figueroa Mountain Brewing Co.,4.5,3.5,4.5,4.0,4.125
Evans Wit,Witbier,C.H. Evans Brewing Company,4.5,4.0,4.0,4.0,4.125
Schijndels Honingbier,Belgian Strong Pale Ale,Bierbrouwerij Sint-Servattumus,4.0,4.5,4.0,4.0,4.125
Uncle Sam's Steam Beer,California Common / Steam Beer,Great Adirondack Steak And Seafood Co.,4.5,4.0,4.0,4.0,4.125
Just Hutched,American Pale Ale (APA),Great Adirondack Steak And Seafood Co.,4.0,4.0,4.0,4.5,4.125
John Brown Pale Ale,American Pale Ale (APA),Great Adirondack Steak And Seafood Co.,4.5,4.0,4.0,4.0,4.125
Ruhrtaler Dunkel,Munich Dunkel Lager,Ruhrtal Brauerei - Privatbrennerei Sonnenschein,4.0,4.5,4.5,3.5,4.125
I Closed Wolski's Milw. Wisc.,German Pilsener,"Lakefront Brewery, Inc.",4.5,4.0,4.0,4.0,4.125
Holiday Spice Lager Beer,Winter Warmer,"Lakefront Brewery, Inc.",4.0,4.0,4.5,4.0,4.125
Dan Brewed A Baltic Porter,Baltic Porter,"Lakefront Brewery, Inc.",4.0,4.0,4.5,4.0,4.125
"""See No Evil"" American Pale Ale",American Pale Ale (APA),Monkey King Brewery & Floribbean Grill,4.5,4.0,4.0,4.0,4.125
Advantageous Weizenbock,Weizenbock,Devils Backbone Brewing Company,4.5,4.0,4.0,4.0,4.125
Baltic Coffee,Baltic Porter,Devils Backbone Brewing Company,4.0,4.5,3.5,4.5,4.125
Ale Of Fergus Winter Warmer,Scottish Ale,Devils Backbone Brewing Company,4.0,4.0,4.5,4.0,4.125
Inspirado,Saison / Farmhouse Ale,Devils Backbone Brewing Company,4.5,4.0,4.0,4.0,4.125
The Sister,American Double / Imperial IPA,Fremont Brewing Company,4.0,4.5,4.0,4.0,4.125
Mash Up New Zealand Collaboration Ale 2011,American Pale Ale (APA),Epic Brewing Company,4.5,4.0,4.0,4.0,4.125
Hoepfner Goldköpfle,Dortmunder / Export Lager,Privatbrauerei Hoepfner,4.5,4.0,4.0,4.0,4.125
German Lager,Märzen / Oktoberfest,Zea Rotisserie & Brewery,4.5,4.0,4.0,4.0,4.125
The Hop Nouvelle,English Pale Ale,Teme Valley Brewery,4.0,4.5,4.0,4.0,4.125
Eichof Barbara,German Pilsener,Brauerei Eichhof,4.0,4.0,4.5,4.0,4.125
Blackfin Lager,Munich Dunkel Lager,P.H. Woods Restaurant & Brewery,4.5,4.0,4.0,4.0,4.125
&#268;ernovar Sv&#283;tlé,Czech Pilsener,M&#283;stský Pivovar Platan S.r.o.,4.0,4.5,4.0,4.0,4.125
3 Cordilleras Mestiza,American Pale Ale (APA),3 Cordilleras,4.0,4.0,4.0,4.5,4.125
Brewer's Alley Oatmeal Stout,Oatmeal Stout,Brewer's Alley Restaurant & Brewery,4.0,4.0,4.5,4.0,4.125
Bartholomäus Festmärzen,Märzen / Oktoberfest,Löwenbräu Buttenheim,4.0,4.0,4.0,4.5,4.125
Brewer's Alley Scotch Ale,Scotch Ale / Wee Heavy,Brewer's Alley Restaurant & Brewery,4.0,4.0,4.0,4.5,4.125
Brewer's Alley Barrel-Aged Oatmeal Stout,Oatmeal Stout,Brewer's Alley Restaurant & Brewery,4.0,4.0,4.5,4.0,4.125
Raspberry Tart,Fruit / Vegetable Beer,New Glarus Brewing Company,4.0,4.0,4.0,4.5,4.125
Sunrise Red,American Amber / Red Ale,Bullfrog Brewery,4.0,4.0,4.5,4.0,4.125
Burton Upon Billtown,English Pale Ale,Bullfrog Brewery,4.5,4.0,4.0,4.0,4.125
Island Reserve: Saison Farmhouse Ale,Saison / Farmhouse Ale,Cisco Brewers Inc.,4.0,4.5,4.0,4.0,4.125
Sour Brown,Flanders Oud Bruin,Goose Island Beer Co.,4.0,4.0,4.5,4.0,4.125
Bocktopuss,Bock,Double Mountain Brewery & Taproom,4.0,4.0,4.0,4.5,4.125
Maltster,American Amber / Red Ale,People's Brewing Company,4.5,4.0,4.0,4.0,4.125
Hop Lava IPA,American IPA,Double Mountain Brewery & Taproom,4.5,4.0,4.0,4.0,4.125
Oak-aged Celebration Red Ale,American Amber / Red Ale,Goose Island Beer Co.,4.5,4.0,4.0,4.0,4.125
1881,Belgian Dark Ale,Microbrasserie La Chouape,4.5,4.5,3.5,4.0,4.125
FrankenPorter,American Porter,Goose Island Beer Co.,4.0,4.0,4.5,4.0,4.125
Double Dry-Hopped India Pale Ale,American IPA,Goose Island Beer Co.,4.5,4.5,3.5,4.0,4.125
Schlafly Indian Brown Ale,American Brown Ale,Saint Louis Brewery / Schlafly Tap Room,4.5,4.0,4.0,4.0,4.125
Organic Pale Ale,English Pale Ale,Saint Louis Brewery / Schlafly Tap Room,4.5,3.5,4.5,4.0,4.125
Schlafly Oktoberfest,Märzen / Oktoberfest,Saint Louis Brewery / Schlafly Tap Room,4.5,3.5,4.5,4.0,4.125
Stimulus Ale,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,4.5,4.0,4.0,4.0,4.125
Lolita,American Wild Ale,Goose Island Beer Co.,4.0,4.5,4.0,4.0,4.125
22nd Anniversary Pale Ale,American Pale Ale (APA),Goose Island Beer Co.,4.0,4.0,4.0,4.5,4.125
Schlafly Saison,Saison / Farmhouse Ale,Saint Louis Brewery / Schlafly Tap Room,4.0,4.5,4.0,4.0,4.125
Chicago Saison,Saison / Farmhouse Ale,Goose Island Beer Co.,4.5,4.0,4.0,4.0,4.125
Schlafly Rye IPA,American IPA,Saint Louis Brewery / Schlafly Tap Room,4.5,4.0,4.0,4.0,4.125
Citrus,Witbier,Goose Island Beer Co.,4.5,4.0,4.0,4.0,4.125
Wood-Aged Summer Bitter,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,4.5,4.0,4.0,4.0,4.125
Schlafly Belgian Pale Ale,Belgian Pale Ale,Saint Louis Brewery / Schlafly Tap Room,4.0,4.0,4.0,4.5,4.125
Ingle Bells,Belgian Pale Ale,Double Mountain Brewery & Taproom,4.0,4.5,4.0,4.0,4.125
Ceres Royal Stout (Ceres Extra Strong Stout),Foreign / Export Stout,Ceres Brewery (Royal Unibrew),4.5,3.5,4.0,4.5,4.125
Lincoln Park Lager,Vienna Lager,Goose Island Beer Co.,4.5,4.0,4.0,4.0,4.125
Flight Delay Imperial IPA,American Double / Imperial IPA,Goose Island Beer Co.,4.0,4.5,4.0,4.0,4.125
Pumpkin Up The Volume Ale,Pumpkin Ale,Broken Tooth Brewing,4.0,4.0,4.0,4.5,4.125
Derailed Mail IPA,American IPA,Willimantic Brewing Co.,4.5,4.0,4.0,4.0,4.125
Willimantic Husky IPA,American IPA,Willimantic Brewing Co.,4.0,4.5,4.0,4.0,4.125
Willimantic Special Delivery Oatmeal Stout,Oatmeal Stout,Willimantic Brewing Co.,4.5,4.0,4.0,4.0,4.125
Willimantic Fallout Shelter IPA,American IPA,Willimantic Brewing Co.,4.5,4.0,4.0,4.0,4.125
Joe Mama's Milk Stout,American Double / Imperial Stout,Keegan Ales,4.0,4.0,4.0,4.5,4.125
Double Demolition Stout,American Stout,Harper's Restaurant & Brewpub,4.5,4.0,4.0,4.0,4.125
Brutus,American Amber / Red Ale,Brouwerij Maximus,4.0,4.5,4.0,4.0,4.125
Moat Scottie's IPA,American IPA,Moat Mountain Smoke House & Brewing Co.,4.5,4.0,4.0,4.0,4.125
Moat Imperial Stout,Russian Imperial Stout,Moat Mountain Smoke House & Brewing Co.,4.5,4.0,4.0,4.0,4.125
The Trees,American Porter,Flat Earth Brewing Company,4.0,4.0,4.0,4.5,4.125
Flat Earth Belgian-Style Pale Ale,Belgian Pale Ale,Flat Earth Brewing Company,4.0,4.0,4.5,4.0,4.125
Flat Tail Some Like It Hop,American Double / Imperial IPA,Flat Tail Brewing,4.0,4.0,4.0,4.5,4.125
Lovin' Hoppin' Squeezin',American Pale Ale (APA),Flat Tail Brewing,4.0,4.0,4.0,4.5,4.125
Peccadillo Peach,Fruit / Vegetable Beer,Palisade Brewing Co.,4.5,4.0,4.0,4.0,4.125
Hep Cat,American Blonde Ale,Flat Earth Brewing Company,4.0,4.0,4.5,4.0,4.125
Golden Champion,English Pale Ale,"Badger Brewery, Hall and Woodhouse",4.0,4.5,4.0,4.0,4.125
Hoppily Ever After,Hefeweizen,Goose Island Beer Co.,4.0,4.0,4.5,4.0,4.125
American ESB,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,4.0,3.5,4.5,4.5,4.125
21st Anniversary ESB,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,4.0,4.0,4.0,4.5,4.125
Second Hand Smoked,Smoked Beer,Goose Island Beer Co.,4.5,4.0,4.0,4.0,4.125
Thai P.A.,Belgian IPA,Bullfrog Brewery,4.0,4.5,4.0,4.0,4.125
Spooky,American Black Ale,Goose Island Beer Co.,4.0,4.0,4.0,4.5,4.125
Special (Best) Bitter,English Bitter,Goose Island Beer Co.,4.0,4.0,4.0,4.5,4.125
Willow Street Wit,Witbier,Goose Island Beer Co.,4.0,4.0,4.5,4.0,4.125
Hopscotch Ale,American Pale Ale (APA),Goose Island Beer Co.,4.0,4.0,4.5,4.0,4.125
Extremely Naughty Goose,American Brown Ale,Goose Island Beer Co.,4.0,4.5,4.0,4.0,4.125
St-Barnabé,Irish Dry Stout,Microbrasserie Le Naufrageur,4.0,4.0,4.0,4.5,4.125
